#;Country,_Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;SeriousCritical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
1;USA;1988544;22836;112096;706;751695;1124753;17021;601;339;20818428;62919;330875237
2;Brazil;673587;27581;35957;910;302084;335546;8318;317;169;999836;4706;212459250
3;Russia;458689;8855;57250;197;221388;231576;23;3143;39;12388968;84896;145930530
4;Spain;288390;332;27135;1;N/A;N/A;617;6168;580;4063843;8692;46753640
5;UK;284868;1557;40465;204;N/A;N/A;604;4198;596;5438712;80143;67862715
6;India;246622;10438;6946;297;118695;120981;8944;179;5;4524317;3281;1379085538
7;Italy;234801;270;33846;72;165078;35877;293;3883;560;4187057;69245;60467327
8;Peru;191758;4358;5301;139;82731;103726;1062;5821;161;1173003;35611;32939749
9;Germany;185696;282;8769;6;1689;8027;576;2217;105;4348880;51917;83766726
10;Iran;169425;2269;8209;75;132038;29178;2578;2019;98;1040289;12396;83918450
11;Turkey;169218;878;4669;21;135322;29227;591;2008;55;2303258;2733;84277161
12;France;153634;579;29142;31;70806;53686;1059;2354;447;1384633;21216;65264303
13;Chile;127745;5246;1541;93;95631;30573;1524;6686;81;68751;35985;19105196
14;Mexico;110026;4346;13170;625;7859;18266;378;854;102;324897;2522;128840531
15;Saudi_Arabia;98869;3121;676;34;71791;26402;1484;2843;19;933201;26835;34775495
16;Canada;95057;722;7773;70;53614;3367;1738;252;206;1868277;4953;37719929
17;Pakistan;93983;4734;1935;97;32581;59467;111;426;9;660508;2994;220579815
18;China;83030;3;4634;;78329;67;2;58;3;;;1439323776
19;Qatar;67195;17;51;2;42527;24617;238;23932;18;251391;89533;2807805
20;Bangladesh;63026;2635;846;35;13325;48855;1;383;5;384851;2338;164578152
21;Belgium;59072;165;9580;14;1619;33302;121;5098;827;92382;79733;11586352
22;Belarus;47751;883;263;4;23015;24473;92;5053;28;609671;64519;9449517
23;Netherlands;47335;183;6011;6;N/A;N/A;97;2763;351;388113;22654;17132455
24;South_Africa;45973;2539;952;44;24258;20763;208;776;16;891668;15047;59256948
25;Sweden;44649;752;4656;17;N/A;N/A;198;4423;461;2755;2729;10095119
26;Ecuador;42728;1153;3608;74;2102;181;252;2424;205;126683;7188;17624147
27;UAE;38268;626;275;1;21061;16932;1;3872;28;2500000;252981;9882167
28;Colombia;38027;1392;1205;60;14382;2244;335;748;24;399505;7857;50845925
29;Singapore;37527;344;25;1;24559;12943;4;6418;4;408495;69861;5847274
30;Portugal;34351;382;1474;9;20807;1207;58;3368;145;873998;85698;10198527
31;Egypt;32612;1497;1198;32;8538;22876;41;319;12;135;1321;102194352
32;Kuwait;31131;487;254;10;19282;11595;180;7297;60;311624;73046;4266127
