#;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
1;USA;2026493;19044;113055;586;77348;1139958;16907;6124;342;21725064;65657;330885824
2;Brazil;710887;18925;37312;813;325602;347973;8318;3346;176;999836;4706;212467494
3;Russia;476658;8985;59710;112;230688;239999;23;3266;41;13016023;89193;145930871
4;Spain;288797;167;27136;;N/A;N/A;617;6177;580;4465338;95508;46753739
5;UK;287399;1205;40597;55;N/A;N/A;516;4235;598;5731576;84456;67864660
6;India;265928;8442;7473;266;129095;12936;8944;193;5;4774434;3462;1379159619
7;Italy;235278;280;33964;65;166584;3473;283;3891;562;4236535;70064;60466843
8;Peru;199696;3181;5571;106;89556;104569;1062;6062;169;1203985;36548;32942259
9;Germany;186205;336;8783;7;1696;7822;540;2223;105;4348880;51916;83768186
10;Iran;173832;2043;8351;70;13636;29121;2619;2071;100;1107254;13193;83924324
11;Turkey;171121;989;4711;19;14138;2503;625;203;56;2377954;28214;84282117
12;France;154188;211;29209;54;71062;53917;1024;2362;448;1384633;21216;65265090
13;Chile;138846;4696;2264;74;95631;40951;1558;7267;118;728815;38146;19106092
14;Mexico;117103;3484;13699;188;84419;18985;378;909;106;336395;2611;128847928
15;Saudi_Arabia;105283;3369;746;34;74524;30013;1632;3027;21;976815;28087;34778459
16;Pakistan;103671;4728;2067;65;34355;67249;111;470;9;705833;32;220603292
17;Canada;96244;545;7835;35;55;33409;1828;2551;208;1930141;51168;37721735
18;China;83040;4;4634;;78341;65;1;58;3;;;1439323776
19;Qatar;70158;1368;57;3;45935;24166;241;24987;20;259646;92473;2807805
20;Bangladesh;68504;2735;930;42;1456;53014;1;416;6;410841;2496;164587111
21;Belgium;59348;122;9606;11;16315;33427;116;5122;829;949675;81963;11586627
22;South_Africa;50879;2594;108;82;26099;237;208;859;18;943059;15914;59261034
23;Belarus;49453;823;276;7;2388;25297;92;5233;29;632993;66987;9449500
24;Netherlands;47739;165;6016;3;N/A;N/A;92;2786;351;41455;24196;17132661
25;Sweden;45133;68;4694;35;N/A;N/A;298;4471;465;2755;27289;10095462
26;Ecuador;43378;258;3642;21;2102;18716;228;2461;207;127576;7238;17625612
27;Colombia;40719;1483;1308;49;16427;22984;335;801;26;421725;8294;50848887
28;UAE;39376;568;281;5;22275;1682;1;3984;28;2500000;252964;9882820
29;Singapore;38296;386;25;;25368;12903;4;6549;4;408495;69858;5847525
30;Egypt;35444;1365;1271;34;9375;24798;41;347;12;135;1321;102204915
31;Portugal;34885;192;1485;6;21156;12244;55;3421;146;873998;857;10198365
32;Kuwait;32510;662;269;5;21242;10999;166;762;63;318284;74601;4266472
33;Indonesia;32033;847;1883;32;10904;19246;;117;7;41298;1511;273342397
34;Switzerland;30972;7;1923;2;287;349;29;358;222;425154;49146;8650765
35;Ukraine;27462;463;797;9;12195;1447;304;628;18;431085;9854;43747990
36;Poland;27160;599;1166;9;12998;12996;160;718;31;1071140;283;37848958
37;Ireland;25207;6;1683;4;22698;826;34;5109;341;348416;70611;4934313
38;Argentina;23620;826;693;29;7305;15622;274;523;15;19852;4395;45170095
39;Philippines;22474;579;1011;8;4637;16826;82;205;9;441396;4031;109487582
40;Afghanistan;20917;575;369;12;2171;18377;19;538;9;48305;1243;38867774
41;Romania;20604;125;1339;6;14826;4439;146;1071;70;506115;26299;19244598
42;Dominican_Republic;20126;526;539;1;12158;7429;110;1856;50;94511;8718;10841126
43;Israel;18032;169;298;;15102;2632;27;1961;32;662916;72075;9197590
44;Oman;17486;604;81;6;3793;13612;75;343;16;111376;21849;5097444
45;Japan;17174;33;916;;15148;111;99;136;7;316848;2505;126497998
46;Austria;16968;66;672;;15839;457;17;1885;75;494761;54953;9003309
47;Panama;16854;429;398;5;10401;6055;87;391;92;72697;16866;4310325
48;Bahrain;15417;654;27;1;10326;5064;12;9084;16;374362;220592;1697080
49;Bolivia;13643;285;465;11;2086;11092;3;117;40;37276;3196;11662786
50;Iraq;13481;1115;370;24;5572;7539;69;336;9;31198;7768;40160173
51;Armenia;13325;195;211;11;4099;9015;10;4497;71;70;23625;2962921
52;Kazakhstan;12859;165;56;3;7376;5427;62;685;3;965089;51437;18762470
53;Nigeria;12801;315;361;7;404;84;7;62;2;78244;380;205780197
54;Denmark;11962;14;593;4;10792;577;16;2066;102;7151;123485;5790999
55;Serbia;11896;73;250;1;11348;298;15;1361;29;27681;31674;8739312
56;S._Korea;11814;38;273;;10563;978;15;230;5;1018214;19861;51266643
57;Algeria;10265;111;715;8;6799;2751;36;234;16;;;43798266
58;Ghana;9910;272;48;4;3645;6217;3;319;2;235443;7588;31028714
59;Moldova;9807;107;353;12;5738;3716;318;2431;87;63328;15697;4034488
60;Czechia;9697;69;328;1;6994;2375;9;906;31;473747;44243;10707826
61;Norway;8561;14;239;1;8138;184;5;158;44;262236;48395;5418646
62;Malaysia;8329;7;117;;6694;1518;6;258;4;61836;19121;32339526
63;Morocco;8302;78;208;;7408;686;15;225;6;322703;8749;36882853
64;Cameroon;8060;152;212;;4748;31;28;304;8;;;26499342
65;Azerbaijan;7876;323;93;5;4377;3406;66;777;9;343391;33887;10133526
66;Australia;7265;5;102;;6706;457;3;285;4;1633515;64107;25481186
67;Guatemala;7055;263;252;22;1261;5542;5;394;14;31427;1756;17893400
