#;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious  Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
1;USA;2 045 549;19 056;114 148;1 093;788 862;1 142 539;16 952;6 182;345;22 140 676;66 911;330 896 410
2;Brazil;742 084;31 197;38 497;1 185;325 602;377 985;8 318;3 493;181;999 836;4 706;212 475 738
3;Russia;485 253;8 595;61 420;171;242 397;236 714;2 3;3 325;42;13 254 678;90 828;145 931 211
4;UK;289 140;1 741;40 883;286;N/A;N/A;516;4 26;602;5 870 506;86 501;67 866 605
5;Spain;289 046;249;27 136;;N/A;N/A;617;6 182;580;4 465 338;95 507;46 753 838
6;India;274 780;8 852;7 719;246;134 165;132 896;8 944;199;6;4 916 116;3 564;1 379 233 699
7;Italy;235 561;283;34 043;79;168 646;32 872;263;3 896;563;4 318 650;71 422;60 466 359
8;Peru;203 736;404;5 738;167;92 929;105 069;1 077;6 184;174;1 227 691;37 265;32 944 770
9;Germany;186 516;311;8 831;48;170 200;7 485;540;2 227;105;4 348 880;51 915;83 769 646
10;Iran;175 927;2 095;8 425;74;138 457;29 045;2 639;2 096;100;1 128 601;13 447;83 930 199
11;Turkey;172 114;993;4 729;18;144 598;22 787;642;2 042;56;2 415 179;28 654;84 287 073
12;France;154 591;403;29 296;87;71 506;53 789;955;2 369;449;1 384 633;21 215;65 265 877
13;Chile;142 759;3 913;2 283;19;95 631;44 845;1 689;7 472;119;746 592;39 074;19 106 987
14;Mexico;120 102;2 999;14 053;354;87 633;18 416;378;932;109;344 375;2 673;128 855 326
15;Saudi_Arabia;108 571;3 288;783;37;76 339;31 449;1 686;3 122;23;997 673;28 684;34 781 424
16;Pakistan;108 317;4 646;2 172;105;35 018;71 127;111;491;10;730 453;3 311;220 626 768
17;Canada;96 653;409;7 897;62;55 572;33 184;1 864;2 562;209;1 955 719;51 843;37 723 541
18;China;83 043;3;4 634;;78 351;58;1;58;3;;;1 439 323 776
19;Qatar;71 879;1 721;62;5;47 569;24 248;236;25 6;22;265 035;94 392;2 807 805
20;Bangladesh;71 675;3 171;975;45;15 337;55 363;1;435;6;425 595;2 586;164 596 070
21;Belgium;59 437;89;9 619;13;16 324;33 494;115;5 13;830;958 513;82 724;11 586 902
22;South_Africa;52 991;2 112;1 162;82;29 006;22 823;208;894;20;968 070;16 335;59 265 120
23;Belarus;50 265;812;282;6;24 506;25 477;92;5 319;30;644 160;68 169;9 449 483
24;Netherlands;47 903;164;6 031;15;N/A;N/A;92;2 796;352;424 448;24 774;17 132 868
25;Sweden;46 665;936;4 717;23;N/A;N/A;288;4 622;467;275 500;27 289;10 095 806
26;Ecuador;43 917;539;3 69;48;21 020;19 207;219;2 491;209;128 175;7 271;17 627 077
27;Colombia;42 078;1 359;1 372;64;16 534;24 172;335;827;27;432 870;8 512;50 851 849
28;UAE;39 904;528;283;2;22 740;16 881;1;4 037;29;2 537 000;256 691;9 883 472
29;Singapore;38 514;218;25;;25 877;12 612;3;6 586;4;408 495;69 855;5 847 776
30;Egypt;36 829;1 385;1 306;35;9 786;25 737;41;360;13;135 000;1 321;102 215 478
31;Portugal;35 306;421;1 492;7;21 339;12 475;65;3 462;146;940 988;92 27;10 198 203
32;Kuwait;33 140;630;273;4;22 162;10 705;173;7 767;64;321 506;75 35;4 266 818
33;Indonesia;33 076;1 043;1 923;40;11 414;19 739;;121;7;429 161;1 57;273 358 192
34;Switzerland;30 988;16;1 934;11;28 700;354;24;3 582;224;428 973;49 586;8 651 110
35;Ukraine;27 856;394;810;13;12 412;14 634;304;637;19;437 444;10;43 746 561
36;Poland;27 560;400;1 183;17;13 196;13 181;160;728;31;1 087 853;28 742;37 848 732
37;Ireland;25 215;8;1 691;8;22 698;826;34;5 11;343;367 780;74 531;4 934 614
38;Argentina;24 761;1 141;717;24;7 568;16 476;274;548;16;203 051;4 495;45 172 359
39;Philippines;22 992;518;1 017;6;4 736;17 239;82;210;9;451 625;4 125;109 495 553
40;Afghanistan;21 459;542;384;15;2 651;18 424;19;552;10;49 530;1 274;38 872 577
41;Romania;20 749;145;1 354;15;14 910;4 485;152;1 078;70;511 295;26 569;19 243 900
42;Dominican_Republic;20 415;289;544;5;12 208;7 663;110;1 883;50;94 511;8 717;10 841 720
43;Oman;18 198;712;83;2;4 152;13 963;85;3 57;16;114 064;22 374;5 098 156
44;Israel;18 180;148;299;1;15 159;2 722;29;1 977;33;678 009;73 716;9 197 590
45;Panama;17 233;379;403;5;10 561;6 269;90;3 998;93;80 720;18 726;4 310 696
46;Japan;17 210;36;916;;15 213;1 081;92;136;7;321 053;2 538;126 495 892
47;Austria;16 979;11;672;;15 875;432;19;1 886;75;500 921;55 636;9 003 589
48;Bahrain;15 731;314;29;2;10 606;5 096;13;9 268;17;378 235;222 831;1 697 405
49;Iraq;14 268;787;392;22;5 831;8 045;70;355;10;322 691;8 034;40 165 118
50;Bolivia;13 949;306;475;10;2 159;11 315;3;1 196;41;38 092;3 266;11 663 656
51;Armenia;13 675;350;217;6;4 451;9 007;10;4 615;73;71 405;24 099;2 962 951
52;Nigeria;13 464;663;365;4;4 206;8 893;7;65;2;79 948;388;205 808 201
53;Kazakhstan;13 074;215;61;5;8 015;4 998;62;697;3;998 556;53 217;18 763 697
54;Denmark;12 001;39;593;;10 849;559;15;2 072;102;730 924;126 215;5 791 110
55;Serbia;11 965;69;250;;11 348;367;15;1 369;29;282 049;32 274;8 739 120
56;S._Korea;11 852;38;274;1;10 589;989;15;231;5;1 035 997;20 208;51 266 883
57;Algeria;10 382;117;724;9;6 951;2 707;36;237;17;;;43 802 599
58;Ghana;10 201;291;48;;3 755;6 398;10;329;2;239 395;7 714;31 032 265
59;Moldova;10 025;218;365;12;5 797;3 863;305;2 485;90;63 328;15 697;4 034 437
60;Czechia;9 751;54;328;;7 053;2 370;11;911;31;478 825;44 717;10 707 935
61;Norway;8 576;15;239;;8 138;199;5;1 583;44;264 390;48 791;5 418 878
62;Morocco;8 437;135;210;2;7 493;734;15;229;6;335 643;9 1;36 885 243
63;Malaysia;8 336;7;117;;6 975;1 244;6;258;4;618 360;19 12;32 341 792
64;Cameroon;8 312;252;212;;4 794;3 306;28;314;8;;;26 502 964
65;Azerbaijan;8 191;315;98;5;4 606;3 487;66;808;10;343 391;33 885;10 134 025
66;Guatemala;7 502;447;267;15;1 323;5 912;5;419;15;31 427;1 756;17 895 213
67;Australia;7 267;2;102;;6 720;445;2;285;4;1 650 684;64 776;25 482 802
68;Finland;7 025;24;324;1;5 800;901;4;1 268;58;205 600;37 11;5 540 268
69;Honduras;6 450;123;262;4;740;5 448;13;652;26;21 540;2 177;9 895 152
70;Sudan;6 427;185;389;17;2 127;3 911;;147;9;401;9;43 783 668
71;Tajikistan;4 690;81;48;;2 815;1 827;;492;5;;;9 524 025
72;Uzbekistan;4 520;80;18;;3 459;1 043;9;135;0 ,5;748 555;22 385;33 440 454
73;Senegal;4 516;89;52;3;2 809;1 655;14;270;3;54 232;3 245;16 714 923
74;Djibouti;4 331;53;34;3;2 139;2 158;;4 387;34;36 497;36 972;987 148
75;DRC;4 259;153;90;2;539;3 630;;48;1;;;89 376 223
76;Guinea;4 258;42;23;;2 942;1 293;24;325;2;14 407;1 099;13 109 226
77;Nepal;4 086;324;15;1;584;3 487;;140;0 ,5;272 489;9 362;29 104 766
78;Luxembourg;4 046;6;110;;3 902;34;2;6 47;176;88 914;142 179;625 365
79;Hungary;4 017;3;550;2;2 324;1 143;20;416;57;214 468;22 198;9 661 588
80;Ivory_Coast;3 995;114;38;;2 045;1 912;;152;1;32 864;1 248;26 335 915
81;Haiti;3 538;204;54;3;24;3 460;;311;5;7 451;654;11 394 459
82;Gabon;3 247;146;21;;938;2 288;13;1 461;9;16 730;7 528;2 222 362
83;North_Macedonia;3 239;87;157;1;1 658;1 424;34;1 555;75;38 014;18 246;2 083 378
84;El_Salvador;3 191;87;58;3;1 413;1 720;91;492;9;111 274;17 16;6 484 427
85;Thailand;3 121;2;58;;2 973;90;1;45;0 ,8;468 175;6 708;69 790 694
86;Greece;3 058;9;183;1;1 374;1 501;10;293;18;231 759;22 23;10 425 563
87;Kenya;2 989;127;88;3;873;2 028;7;56;2;100 683;1 875;53 696 273
88;Bulgaria;2 889;79;167;3;1 623;1 099;13;416;24;93 512;13 453;6 950 954
89;Bosnia_and_Herzegovina;2 728;24;160;;2 049;519;4;831;49;72 514;22 096;3 281 811
90;Venezuela;2 632;159;23;1;487;2 122;1;93;0 ,8;1 046 118;36 783;28 439 993
91;Somalia;2 416;48;85;1;489;1 842;2;152;5;;;15 863 692
92;Ethiopia;2 336;180;32;5;379;1 925;32;20;0 ,3;152 334;1 327;114 778 909
93;Croatia;2 247;;106;2;2 130;11;;547;26;69 115;16 831;4 106 498
94;Cuba;2 205;5;83;;1 880;242;1;195;7;122 603;10 824;11 326 971
95;Mayotte;2 175;24;28;3;1 654;493;12;7 985;103;8 150;29 92;272 390
96;Kyrgyzstan;2 055;23;24;1;1 483;548;5;315;4;127 051;19 493;6 517 700
97;Estonia;1 947;7;69;;1 684;194;;1 468;52;91 000;68 602;1 326 489
98;Maldives;1 942;26;8;;1 010;924;9;3 597;15;28 940;53 596;539 964
99;Sri_Lanka;1 859;2;11;;1 057;791;1;87;0 ,5;76 957;3 595;21 408 412
100;CAR;1 850;;5;;38;1 807;;383;1;15 881;3 292;4 824 660
101;Iceland;1 807;;10;;1 794;3;;5 297;29;62 870;184 304;341 121
102;Lithuania;1 727;7;72;1;1 338;317;17;634;26;340 073;124 844;2 723 992
103;South_Sudan;1 604;;19;;15;1 570;;143;2;3 356;300;11 186 140
104;Mali;1 586;39;94;2;931;561;;78;5;3 483;172;20 211 691
105;Slovakia;1 531;1;28;;1 402;101;;280;5;190 426;34 88;5 459 505
106;New_Zealand;1 504;;22;;1 482;0;;301;4;295 901;59 155;5 002 100
107;Slovenia;1 486;1;109;;1 359;18;;715;52;85 562;41 157;2 078 923
108;Nicaragua;1 464;346;55;9;953;456;;221;8;;;6 619 991
109;Guinea-Bissau;1 389;;12;;153;1 224;5;707;6;1 500;763;1 965 014
110;Costa_Rica;1 375;33;11;1;717;647;5;270;2;29 622;5 818;5 091 493
111;Lebanon;1 368;18;30;;795;543;7;200;4;97 745;14 318;6 826 957
112;Equatorial_Guinea;1 306;;12;;200;1 094;;933;9;8 268;5 907;1 399 786
113;Albania;1 299;36;34;;960;305;6;451;12;16 716;5 808;2 877 958
114;Zambia;1 200;;10;;912;278;1;65;0 ,5;28 236;1 539;18 349 636
115;Paraguay;1 187;42;11;;604;572;2;167;2;40 032;5 617;7 127 448
116;Mauritania;1 162;58;61;2;139;962;11;250;13;7 654;1 649;4 641 629
117;Madagascar;1 138;44;9;;274;855;9;41;0 ,3;13 707;496;27 644 480
118;Hong_Kong;1 108;;4;;1 049;55;3;148;0 ,5;202 930;27 081;7 493 581
119;Latvia;1 089;1;26;;794;269;5;577;14;120 052;63 615;1 887 162
120;Tunisia;1 087;;49;;982;56;1;92;4;55 419;4 692;11 811 553
121;Sierra_Leone;1 025;24;50;1;621;354;;129;6;;;7 966 858
122;Niger;974;1;65;;871;38;;40;3;6 229;258;24 144 135
123;Cyprus;972;2;18;;807;147;4;805;15;125 312;103 832;1 206 871
124;Burkina_Faso;891;1;53;;765;73;;43;3;;;20 865 254
125;Andorra;852;;51;;757;44;7;11 028;660;3 750;48 538;77 259
126;Uruguay;846;1;23;;754;69;4;244;7;49 653;14 297;3 473 086
127;Jordan;845;14;9;;657;179;5;83;0 ,9;235 014;23 047;10 197 375
128;Chad;844;5;71;1;706;67;;51;4;;;16 394 263
129;Georgia;818;6;13;;686;119;6;205;3;67 725;16 976;3 989 556
130;French_Guiana;773;44;2;;427;344;6;2 592;7;277;929;298 175
131;Congo;728;45;24;2;221;483;;132;4;;;5 509 290
132;Diamond_Princess;712;;13;;651;48;4;;;;;
133;San_Marino;688;1;42;;483;163;1;20 279;1,238;5 061;149 173;33 927
134;Uganda;657;11;;;118;539;;14;;104 160;2 282;45 641 795
135;Malta;632;2;9;;597;26;;1 432;20;77 033;174 488;441 481
136;Jamaica;599;1;10;;405;184;2;202;3;14 802;5;2 960 470
137;Cabo_Verde;585;18;5;;270;310;;1 053;9;1 307;2 352;555 641
138;Channel_Islands;565;1;48;2;512;5;;3 251;276;10 255;59 014;173 772
139;Yemen;524;28;127;15;23;374;;18;4;120;4;29 784 357
140;Sao_Tome_and_Principe;514;1;12;;76;426;;2 348;55;1 095;5 002;218 909
141;Tanzania;509;;21;;183;305;7;9;0 ,4;;;59 620 347
142;Togo;501;4;13;;260;228;1;61;2;23 501;2 843;8 266 284
143;Palestine;481;8;3;;404;74;;94;0 ,6;44 876;8 81;5 093 823
144;Réunion;481;;1;;447;33;1;537;1;17 200;19 219;894 958
145;Rwanda;463;12;2;;300;161;;36;0 ,2;80 129;6 196;12 931 392
146;Malawi;455;12;4;;55;396;4;24;0 ,2;6 542;343;19 097 600
147;Mozambique;453;20;2;;136;315;;15;0 ,06;15 190;487;31 197 059
148;Taiwan;443;;7;;430;6;;19;0 ,3;73 751;3 097;23 814 505
149;Liberia;383;13;31;1;199;153;;76;6;;;5 050 055
150;Eswatini;371;31;3;;232;136;5;320;3;6 551;5 65;1 159 478
151;Libya;359;27;5;;58;296;;52;0 ,7;10 525;1 533;6 865 799
152;Mauritius;337;;10;;324;3;;265;8;133 883;105 282;1 271 657
153;Isle_of_Man;336;;24;;312;0;;3 953;282;5 315;62 523;85 009
154;Vietnam;332;;;;316;16;1;3;;275 000;2 827;97 289 213
155;Montenegro;324;;9;;315;0;;516;14;13 186;20 995;628 062
156;Zimbabwe;314;27;4;;46;264;;21;0 ,3;52 905;3 563;14 850 093
157;Benin;305;17;4;;188;113;2;25;0 ,3;45 100;3 727;12 102 356
158;Myanmar;246;2;6;;159;81;;5;0 ,1;39 211;721;54 389 676
159;Martinique;202;;14;;98;90;;538;37;;;375 280
160;Mongolia;194;;;;85;109;15;59;;16 365;4 997;3 275 116
161;Faeroe_Islands;187;;;;187;0;;3 828;;10 459;214 091;48 853
162;Cayman_Islands;176;5;1;;104;71;;2 68;15;15 423;234 831;65 677
163;Gibraltar;176;;;;165;11;;5 224;;9 283;275 525;33 692
164;Guadeloupe;164;;14;;144;6;1;410;35;4 975;12 434;400 120
165;Guyana;156;2;12;;86;58;2;198;15;1 854;2 358;786 346
166;Syria;146;2;6;;62;78;;8;0 ,3;;;17 473 199
167;Bermuda;141;;9;;120;12;2;2 264;144;8 169;131 147;62 289
168;Brunei;141;;2;;138;1;1;322;5;22 664;51 834;437 242
169;Comoros;141;;2;;67;72;;162;2;;;868 435
170;Suriname;137;9;2;;9;126;2;234;3;1 165;1 987;586 336
171;Cambodia;126;;;;124;2;1;8;;23 879;1 429;16 705 332
172;Trinidad_and_Tobago;117;;8;;109;0;;84;6;3 439;2 458;1 399 246
173;Bahamas;103;;11;;64;28;1;262;28;2 225;5 661;393 031
174;Aruba;101;;3;;98;0;;946;28;2 179;20 414;106 742
175;Monaco;99;;4;;93;2;1;2 524;102;16 200;412 981;39 227
176;Angola;96;4;4;;38;54;1;3;0 ,1;10 000;305;32 796 332
177;Barbados;92;;7;;81;4;1;320;24;6 005;20 897;287 357
178;Burundi;83;;1;;45;37;;7;0 ,08;382;32;11 866 823
179;Liechtenstein;82;;1;;55;26;;2 151;26;900;23 608;38 122
180;Sint_Maarten;77;;15;;61;1;1;1 797;350;470;10 969;42 848
181;French_Polynesia;60;;;;60;0;;214;;4 262;15 177;280 819
182;Bhutan;59;;;;17;42;;77;;19 782;25 654;771 120
183;Macao;45;;;;45;0;;69;;;;648 814
184;Botswana;42;;1;;24;17;1;18;0 ,4;26 238;11 171;2 348 667
185;Saint_Martin;41;;3;;33;5;1;1 061;78;614;15 896;38 626
186;Eritrea;39;;;;39;0;;11;;;;3 543 529
187;Namibia;31;;;;16;15;1;12;;4 970;1 958;2 538 088
188;Gambia;28;;1;;21;6;;12;0 ,4;1 970;817;2 412 139
189;St._Vincent_Grenadines;27;;;;25;2;;243;;643;5 797;110 921
190;Antigua_and_Barbuda;26;;3;;20;3;1;266;31;246;2 513;97 884
191;Timor-Leste;24;;;;24;0;;18;;1 568;1 191;1 316 895
192;Grenada;23;;;;22;1;1;204;;4 130;36 713;112 495
193;Curaçao;21;;1;;15;5;;128;6;985;6 004;164 057
194;New_Caledonia;21;1;;;20;1;;74;;7 407;25 958;285 342
